year,teamA,teamB,goalsA,goalsB,date
2022 FIFA World Cup,Qatar,Ecuador,0,2,20 November 2022 (2022-11-20)19:00
2022 FIFA World Cup,Senegal,Netherlands,0,2,21 November 2022 (2022-11-21)19:00
2022 FIFA World Cup,Qatar,Senegal,1,3,25 November 2022 (2022-11-25)16:00
2022 FIFA World Cup,Netherlands,Ecuador,1,1,25 November 2022 (2022-11-25)19:00
2022 FIFA World Cup,Ecuador,Senegal,1,2,29 November 2022 (2022-11-29)18:00
2022 FIFA World Cup,Netherlands,Qatar,2,0,29 November 2022 (2022-11-29)18:00
2022 FIFA World Cup,England,Iran,6,2,21 November 2022 (2022-11-21)16:00
2022 FIFA World Cup,United States,Wales,1,1,21 November 2022 (2022-11-21)22:00
2022 FIFA World Cup,Wales,Iran,0,2,25 November 2022 (2022-11-25)13:00
2022 FIFA World Cup,England,United States,0,0,25 November 2022 (2022-11-25)22:00
2022 FIFA World Cup,Wales,England,0,3,29 November 2022 (2022-11-29)22:00
2022 FIFA World Cup,Iran,United States,0,1,29 November 2022 (2022-11-29)22:00
2022 FIFA World Cup,Argentina,Saudi Arabia,1,2,22 November 2022 (2022-11-22)13:00
2022 FIFA World Cup,Mexico,Poland,0,0,22 November 2022 (2022-11-22)19:00
2022 FIFA World Cup,Poland,Saudi Arabia,2,0,26 November 2022 (2022-11-26)16:00
2022 FIFA World Cup,Argentina,Mexico,2,0,26 November 2022 (2022-11-26)22:00
2022 FIFA World Cup,Poland,Argentina,0,2,30 November 2022 (2022-11-30)22:00
2022 FIFA World Cup,Saudi Arabia,Mexico,1,2,30 November 2022 (2022-11-30)22:00
2022 FIFA World Cup,Denmark,Tunisia,0,0,22 November 2022 (2022-11-22)16:00
2022 FIFA World Cup,France,Australia,4,1,22 November 2022 (2022-11-22)22:00
2022 FIFA World Cup,Tunisia,Australia,0,1,26 November 2022 (2022-11-26)13:00
2022 FIFA World Cup,France,Denmark,2,1,26 November 2022 (2022-11-26)19:00
2022 FIFA World Cup,Australia,Denmark,1,0,30 November 2022 (2022-11-30)18:00
2022 FIFA World Cup,Tunisia,France,1,0,30 November 2022 (2022-11-30)18:00
2022 FIFA World Cup,Germany,Japan,1,2,23 November 2022 (2022-11-23)16:00
2022 FIFA World Cup,Spain,Costa Rica,7,0,23 November 2022 (2022-11-23)19:00
2022 FIFA World Cup,Japan,Costa Rica,0,1,27 November 2022 (2022-11-27)13:00
2022 FIFA World Cup,Spain,Germany,1,1,27 November 2022 (2022-11-27)22:00
2022 FIFA World Cup,Japan,Spain,2,1,1 December 2022 (2022-12-01)22:00
2022 FIFA World Cup,Costa Rica,Germany,2,4,1 December 2022 (2022-12-01)22:00
2022 FIFA World Cup,Morocco,Croatia,0,0,23 November 2022 (2022-11-23)13:00
2022 FIFA World Cup,Belgium,Canada,1,0,23 November 2022 (2022-11-23)22:00
2022 FIFA World Cup,Belgium,Morocco,0,2,27 November 2022 (2022-11-27)16:00
2022 FIFA World Cup,Croatia,Canada,4,1,27 November 2022 (2022-11-27)19:00
2022 FIFA World Cup,Croatia,Belgium,0,0,1 December 2022 (2022-12-01)18:00
2022 FIFA World Cup,Canada,Morocco,1,2,1 December 2022 (2022-12-01)18:00
2022 FIFA World Cup,Switzerland,Cameroon,1,0,24 November 2022 (2022-11-24)13:00
2022 FIFA World Cup,Brazil,Serbia,2,0,24 November 2022 (2022-11-24)22:00
2022 FIFA World Cup,Cameroon,Serbia,3,3,28 November 2022 (2022-11-28)13:00
2022 FIFA World Cup,Brazil,Switzerland,1,0,28 November 2022 (2022-11-28)19:00
2022 FIFA World Cup,Serbia,Switzerland,2,3,2 December 2022 (2022-12-02)22:00
2022 FIFA World Cup,Cameroon,Brazil,1,0,2 December 2022 (2022-12-02)22:00
2022 FIFA World Cup,Uruguay,South Korea,0,0,24 November 2022 (2022-11-24)16:00
2022 FIFA World Cup,Portugal,Ghana,3,2,24 November 2022 (2022-11-24)19:00
2022 FIFA World Cup,South Korea,Ghana,2,3,28 November 2022 (2022-11-28)16:00
2022 FIFA World Cup,Portugal,Uruguay,2,0,28 November 2022 (2022-11-28)22:00
2022 FIFA World Cup,Ghana,Uruguay,0,2,2 December 2022 (2022-12-02)18:00
2022 FIFA World Cup,South Korea,Portugal,2,1,2 December 2022 (2022-12-02)18:00
2022 FIFA World Cup,Netherlands,United States,3,1,3 December 2022 (2022-12-03)18:00
2022 FIFA World Cup,Argentina,Australia,2,1,3 December 2022 (2022-12-03)22:00
2022 FIFA World Cup,France,Poland,3,1,4 December 2022 (2022-12-04)18:00
2022 FIFA World Cup,England,Senegal,3,0,4 December 2022 (2022-12-04)22:00
2022 FIFA World Cup,Japan,Croatia,1,1 (a.e.t.),5 December 2022 (2022-12-05)18:00
2022 FIFA World Cup,Brazil,South Korea,4,1,5 December 2022 (2022-12-05)22:00
2022 FIFA World Cup,Morocco,Spain,0,0 (a.e.t.),6 December 2022 (2022-12-06)18:00
2022 FIFA World Cup,Portugal,Switzerland,6,1,6 December 2022 (2022-12-06)22:00
2022 FIFA World Cup,Croatia,Brazil,1,1 (a.e.t.),9 December 2022 (2022-12-09)18:00
2022 FIFA World Cup,Netherlands,Argentina,2,2 (a.e.t.),9 December 2022 (2022-12-09)22:00
